Latitude [°],Longitude [°],Was cleaned,Access type,Distance from the road [m],Location type,Waste area [m²],Waste volume [m³],Organic waste [%],Construction waste [%],Mixed/non-recyclable waste [%],Bulky waste [%],Tires [%],Motor vehicles [%],Hazardous/toxic waste [%],Asbestos panels [%],Barrels with hazardous/unknown liquid,Waste partially buried?,Importance assessment,IRSOP,Duty of Slovenia Forest Service,Entry creation date,Last modification date,Geopedia URL,ID,Name,Description/quantity of hazardous waste,Municipality,Land registry property ID
continuous,continuous,0 1,Inaccessible Off-road On\ foot Private\ car Unsafe\ access,continuous,Basin Plane Slope,continuous,continuous,0 1 2 3 4 5 6 8 9 10 14 15 16 18 19 20 25 27 30 33 34 35 37 38 40 43 44 45 47 48 49 50 53 54 55 58 59 60 62 65 66 67 68 70 73 74 75 78 79 80 83 84 85 88 90 92 93 94 95 96 97 98 99 100,continuous,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 23 25 29 30 33 34 35 38 40 43 45 48 49 50 53 55 59 60 61 62 65 68 69 70 73 75 77 80 83 84 85 89 90 93 94 95 98 99 100,0 1 2 3 4 5 6 7 8 9 10 11 12 15 17 18 19 20 22 23 24 25 29 30 33 34 35 38 39 40 44 45 49 50 54 55 59 60 63 65 66 67 69 70 71 72 74 75 77 78 79 80 82 84 85 89 90 92 93 94 95 96 98 99 100,0 1 2 3 4 5 7 10 11 15 20 25 30 40 50 60 65 70 75 80 90 95 100,0 1 5 10 15 20 25 30 35 40 50 60 70 75 80 85 90 95 98 99 100,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 17 18 19 20 23 25 30 33 35 37 40 45 49 50 55 57 60 65 67 69 70 75 80 85 90 93 94 95 99 100,0 1 2 3 4 5 6 8 10 12 15 20 23 25 30 33 35 40 50 55 60 67 70 75 80 85 90 95 98 99 100,0 1,0 1,continuous,Celje Koper Kranj Ljubljana Maribor Murska\ Sobota Nova\ Gorica Novo\ Mesto Novo\ mesto,0 1,time,time,string,continuous,string,string,string,string
,,,,,,,,,,,,,,,,,,,,,,,meta,meta,meta,meta,meta,meta
46.5578967246,15.0331590282,1,Private car,20.0,Slope,50.0,25.0,,50.0,50,,,,,,0,0,5.0,Maribor,0,2010-03-28,2012-07-12,http://www.geopedia.si/?params=T1199_L6357_F25,25.0,,,Dravograd,524-936
46.5700699399,15.0305574209,1,Private car,50.0,Plane,50.0,10.0,50,50.0,0,0,,,,,0,0,1.0,Maribor,0,2010-03-28,2012-07-12,http://www.geopedia.si/?params=T1199_L6357_F26,26.0,,,Dravograd,1740-1196/64
46.2605656149,14.3704189226,1,Private car,50.0,Basin,200.0,100.0,,100.0,,,,,,,0,0,18.0,Kranj,0,2010-04-04,2015-08-06,http://www.geopedia.si/?params=T1199_L6357_F27,27.0,,sežiganje nevarnih snovi in plastike,Kranj,1994-1039/1
46.2623630978,14.3832665589,0,Private car,20.0,Slope,100.0,25.0,,70.0,10,20,,,,,0,0,7.0,Kranj,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F28,28.0,,odlaganje v kanjon reke Kokre,Kranj,318-744/1
46.2586601789,14.3806619702,0,Private car,30.0,Slope,50.0,25.0,10,50.0,10,30,,,,,0,0,7.0,Kranj,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F29,29.0,,odlaganje v kanjon reke Kokre,Kranj,318-744/1
45.6802743245,14.8453097115,1,Off-road,50.0,Plane,20.0,10.0,,,,100,,,,,0,0,,Ljubljana,0,2010-04-04,2011-03-31,http://www.geopedia.si/?params=T1199_L6357_F31,31.0,,10 kosov starih televizorjev,Kočevje,2703-237
45.6785466328,14.8452631268,1,Off-road,150.0,Basin,10.0,10.0,,,,100,,,,,0,0,,Ljubljana,0,2010-04-04,2011-03-31,http://www.geopedia.si/?params=T1199_L6357_F32,32.0,,1 avtomobilska školjka ki je tam že 20 let,Kočevje,2703-237
45.6227773096,13.9595838726,1,Private car,50.0,Plane,1000.0,1500.0,40,50.0,,9,,,1,,0,0,58.0,Koper,0,2010-03-19,2015-10-09,http://www.geopedia.si/?params=T1199_L6357_F33,33.0,,azbestne kritine,Hrpelje-Kozina,1415-1178
45.7263941405,13.9107431685,0,Private car,160.0,Plane,4.0,2.0,,,50,50,,,,,0,0,1.0,Koper,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F35,35.0,,,Sežana,1765-1513
45.7265626866,13.9114336532,0,Private car,320.0,Plane,2.0,1.0,,,,,,,100,,0,0,1.0,Koper,0,2010-03-18,2010-03-18,http://www.geopedia.si/?params=T1199_L6357_F36,36.0,,,Sežana,1765-1513
45.724597418,13.9091593728,0,Private car,190.0,Plane,30.0,10.0,10,40.0,20,30,,,,,0,0,4.0,Koper,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F37,37.0,,,Sežana,1765-1513
45.721590502,13.9099372898,1,Private car,370.0,Plane,20.0,2.0,,30.0,20,50,,,,,0,0,2.0,Koper,0,2010-04-18,2016-02-16,http://www.geopedia.si/?params=T1199_L6357_F38,38.0,,,Sežana,1765-1538/3
45.7229584399,13.9099620701,1,Private car,370.0,Plane,5.0,1.0,,,100,,,,,,0,0,1.0,Koper,0,2010-04-18,2016-02-16,http://www.geopedia.si/?params=T1199_L6357_F39,39.0,,,Sežana,1765-1513
45.7212906388,13.8571580102,1,Private car,290.0,Plane,10.0,2.0,,,,100,,,,,0,0,1.0,Koper,0,2010-04-18,2016-02-16,http://www.geopedia.si/?params=T1199_L6357_F41,41.0,,,Sežana,1765-6080/2
45.7194743909,13.8599954287,1,Private car,560.0,Plane,5.0,10.0,,,,100,,,,,0,0,4.0,Koper,0,2010-04-18,2016-02-16,http://www.geopedia.si/?params=T1199_L6357_F42,42.0,,,Sežana,1765-5016
45.700347523,13.8711710456,1,Private car,10.0,Basin,100.0,50.0,,,30,60,,,,10,0,0,14.0,Koper,0,2010-04-18,2016-02-16,http://www.geopedia.si/?params=T1199_L6357_F44,44.0,,Od nevarnih odpadkov je opaziti manjši kos salonitne plošče in avtomobilskiakumulator.,Sežana,1765-2725/56
45.6983233611,13.8451061126,0,Private car,50.0,Basin,8500.0,1500.0,10,70.0,5,15,,,,,0,0,48.0,Koper,0,2010-03-17,2011-03-10,http://www.geopedia.si/?params=T1199_L6357_F45,45.0,,,Sežana,1765-3791/11
45.7084114453,13.8496888899,1,Private car,20.0,Plane,50.0,10.0,,,,100,,,,,0,0,4.0,Koper,0,2010-04-18,2016-02-16,http://www.geopedia.si/?params=T1199_L6357_F48,48.0,,,Sežana,1765-4212/131
45.7033659214,13.8579984953,1,Private car,300.0,Plane,1370.0,100.0,10,30.0,20,40,,,,,0,0,12.0,Koper,0,2010-04-18,2016-02-16,http://www.geopedia.si/?params=T1199_L6357_F49,49.0,,POZOR<br/>Potrebno je pregledati področje v krogu 70 m od označene lokacije. Področjeonesnaženosti sega tudi na drugo stran ceste.,Sežana,1765-3905/21
46.3003830394,15.8749479239,0,Off-road,500.0,Slope,10.0,1.0,,,,,,,100,,0,0,1.0,Maribor,0,2010-04-18,2011-04-11,http://www.geopedia.si/?params=T1199_L6357_F51,51.0,,embalaže škropiv in drugih stupov,Podlehnik,198-718
45.6718568263,13.948188667,1,Private car,30.0,Plane,10.0,2.0,,,,100,,,,,0,0,1.0,Koper,0,2010-03-28,2016-02-16,http://www.geopedia.si/?params=T1199_L6357_F53,53.0,,,Sežana,645-1941/89
45.6624019946,13.9612113124,1,Off-road,850.0,Plane,10.0,10.0,,,,100,,,,,0,0,4.0,Koper,0,2010-03-28,2015-10-27,http://www.geopedia.si/?params=T1199_L6357_F54,54.0,,,Divača,646-407/33
45.6895220517,13.9801603328,0,Private car,30.0,Plane,100.0,25.0,,100.0,,,,,,,0,0,4.0,Koper,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F55,55.0,,,Divača,640-129/39
45.6792659643,14.0173160533,1,Private car,260.0,Plane,10.0,1.0,,,100,,,,,,0,0,1.0,Koper,0,2010-01-20,2015-10-27,http://www.geopedia.si/?params=T1199_L6357_F56,56.0,,,Divača,638-1508/2
45.7709457148,14.1690853995,0,Private car,300.0,Slope,1400.0,1500.0,5,,30,55,,,10,,0,0,126.0,Koper,0,2010-01-20,2011-03-10,http://www.geopedia.si/?params=T1199_L6357_F58,58.0,,"nevarni odpadki so azbestne plošče, najdemo pa tukaj še električno inelektronsko opremo.",Postojna,669-1413/1
45.8840455328,13.7688698353,1,Off-road,500.0,Plane,5.0,2.0,,,,100,,,,,0,0,,Nova Gorica,0,2010-04-18,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F61,61.0,,,Nova Gorica,2144-3707/40
45.8267888031,13.8443440449,0,Private car,2.0,Slope,2.0,2.0,,,,100,,,,,0,0,1.0,Koper,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F63,63.0,,,Komen,2057-84/2
45.8258567361,13.8402705909,1,Private car,3.0,Slope,5.0,1.0,,20.0,,80,,,,,0,0,1.0,Koper,0,2010-03-28,2016-02-09,http://www.geopedia.si/?params=T1199_L6357_F64,64.0,,,Komen,2057-500/16
45.7963533201,13.8663396421,0,Private car,10.0,Plane,60.0,25.0,,50.0,,50,,,,,0,0,6.0,Koper,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F65,65.0,,,Sežana,2243-1962/1
45.8290382576,13.9654392334,0,Private car,50.0,Plane,30.0,10.0,,50.0,,50,,,,,0,0,5.0,Nova Gorica,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F66,66.0,,,Vipava,2224-710/1
45.7854506661,13.964252457,0,Private car,5.0,Plane,7.0,10.0,,,,100,,,,,0,0,4.0,Nova Gorica,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F67,67.0,,,Vipava,2226-392
